human_gene_id,entrez_id,sysid_id,chromosome_location,gene_type_id,gene_symbol,gene_description,gene_synonyms,omim_id,ensembl_id,hprd_id,hgnc_id,hpsd,human_gene_remark
217,3028,SysID_0168,Xp11.22,1,HSD17B10,"hydroxysteroid 17-beta dehydrogenase 10","17b-HSD10, ABAD, CAMR, DUPXp11.22, ERAB, HADH2, HCD2, HSD10MD, MHBD, MRPP2, MRX17, MRX31, MRXS10, SCHAD, SDR5C1",300256,ENSG00000072506,02223,4800,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
218,55636,SysID_0078,8q12.2,1,CHD7,"chromodomain helicase DNA binding protein 7","CRG, HH5, IS3, KAL5",608892,ENSG00000171316,10595,20626,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
219,1120,SysID_0408,22q13.33,1,CHKB,"choline kinase beta","CHETK, CHKL, CK, CKB, CKEKB, EK, EKB, MDCMC",612395,ENSG00000100288,07631,1938,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
220,3423,SysID_0169,Xq28,1,IDS,"iduronate 2-sulfatase","ID2S, MPS2, SIDS",300823,ENSG00000010404,02402,5389,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
221,3425,SysID_0170,4p16.3,1,IDUA,alpha-L-iduronidase,"IDA, MPS1, MPSI",252800,ENSG00000127415,02016,5391,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
222,51124,SysID_0431,18q21.1,1,IER3IP1,"immediate early response 3 interacting protein 1","HSPC039, MEDS, PRO2309",609382,ENSG00000134049,13727,18550,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
223,3479,SysID_0171,12q23.2,1,IGF1,"insulin like growth factor 1","IGF, IGF-I, IGFI, MGF",147440,ENSG00000017427,00936,5464,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
224,8517,SysID_0172,Xq28,1,IKBKG,"inhibitor of nuclear factor kappa B kinase regulatory subunit gamma","AMCBX1, EDAID1, FIP-3, FIP3, Fip3p, IKK-gamma, IKKAP1, IKKG, IMD33, IP, IP1, IP2, IPD2, NEMO, ZC2HC9",300248,ENSG00000269335,02217,5961,0,"uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013; Fly-2013 orthology: Best bidirectional hits, independent expansion in humans"
225,11141,SysID_0173,Xp21.3-p21.2,1,IL1RAPL1,"interleukin 1 receptor accessory protein like 1","IL-1-RAPL-1, IL-1RAPL-1, IL1R8, IL1RAPL, IL1RAPL-1, MRX10, MRX21, MRX34, OPHN4, TIGIRR-2",300206,ENSG00000169306,02193,5996,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
226,56623,SysID_0174,9q34.3,1,INPP5E,"inositol polyphosphate-5-phosphatase E","CORS1, CPD4, JBTS1, MORMS, PPI5PIV, pharbin",613037,ENSG00000148384,17151,21474,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
227,23096,SysID_0175,Xp11.22,1,IQSEC2,"IQ motif and Sec7 domain ArfGEF 2","BRAG1, IQ-ArfGEF, MRX1, MRX18, MRX78",300522,ENSG00000124313,10012,29059,1,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
228,729920,SysID_0491,7p21.2,1,CRPPA,"CDP-L-ribitol pyrophosphorylase A","ISPD, LGMDR20, MDDGA7, MDDGC7, Nip, hISPD",614631,ENSG00000214960,19679,37276,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
229,83700,SysID_0439,11q25,1,JAM3,"junctional adhesion molecule 3","JAM-2, JAM-3, JAM-C, JAMC",606871,ENSG00000166086,06042,15532,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
230,284058,SysID_0492,17q21.31,1,KANSL1,"KAT8 regulatory NSL complex subunit 1","CENP-36, KDVS, KIAA1267, MSL1v1, NSL1, hMSL1v1",612452,ENSG00000120071,11254,24565,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
231,23522,SysID_0451,10q22.2,1,KAT6B,"lysine acetyltransferase 6B","GTPTS, MORF, MOZ2, MYST4, ZC2HC6B, qkf, querkopf",605880,ENSG00000156650,07065,17582,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
232,3767,SysID_0176,11p15.1,1,KCNJ11,"potassium inwardly rectifying channel subfamily J member 11","BIR, HHF2, IKATP, KIR6.2, MODY13, PHHI, PNDM2, TNDM3",600937,ENSG00000187486,09022,6257,0,"uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013; Fly-2013 orthology: Is a many to many orthology. In DM and in Homo sapiens we see independent expansions of this family. Enseble annotates all in v73 but not v72. DM representatives are: CG10369, CG4370, CG44159 all of which more similar to other members of this family in human than to KCN11: hence my remark many to many at best.  Not in Ensemble 73."
233,51305,SysID_0177,8q24.3,1,KCNK9,"potassium two pore domain channel subfamily K member 9","BIBARS, K2p9.1, KT3.2, TASK-3, TASK3, TASK32",605874,ENSG00000169427,16167,6283,0,"uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013; Fly-2013 orthology: Martijn: many to many, DM genes have more or less the same level of idenity to the human gene; Annette: CG9361 can stay on to be investigated list (better ensemble values; is homologene; also more expressed in NS"
234,57582,SysID_0493,9q34.3,1,KCNT1,"potassium sodium-activated channel subfamily T member 1","DEE14, EIEE14, ENFL5, KCa4.1, SLACK, Slo2.2, bA100C15.2",608167,ENSG00000107147,18851,18865,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
235,154881,SysID_0494,7q11.21,1,KCTD7,"potassium channel tetramerization domain containing 7","CLN14, EPM3",611725,ENSG00000243335,13770,21957,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
236,8242,SysID_0178,Xp11.22,1,KDM5C,"lysine demethylase 5C","DXS1272E, JARID1C, MRX13, MRXJ, MRXSCJ, MRXSJ, SMCX, XE169",314690,ENSG00000126012,02442,11114,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
237,7403,SysID_0449,Xp11.3,1,KDM6A,"lysine demethylase 6A","KABUK2, UTX, bA386N14.2",300128,ENSG00000147050,02131,12637,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
238,26128,SysID_0179,10q22.1,1,KIFBP,"kinesin family binding protein","KBP, KIAA1279, KIF1BP, TTC20",609367,ENSG00000198954,13848,23419,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
239,3832,SysID_0454,10q23.33,1,KIF11,"kinesin family member 11","EG5, HKSP, KNSL1, MCLMR, TRIP5",148760,ENSG00000138160,01023,6388,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
240,374654,SysID_0418,15q26.1,1,KIF7,"kinesin family member 7","ACLS, AGBK, HLS2, JBTS12, UNQ340",611254,ENSG00000166813,14187,30497,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
241,3845,SysID_0180,12p12.1,1,KRAS,"KRAS proto-oncogene, GTPase","'C-K-RAS, C-K-RAS, CFC2, K-RAS2A, K-RAS2B, K-RAS4A, K-RAS4B, K-Ras, K-Ras 2, KI-RAS, KRAS1, KRAS2, NS, NS3, OES, RALD, RASK2, c-Ki-ras, c-Ki-ras2",190070,ENSG00000133703,01817,6407,1,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
242,55634,SysID_0383,Xp11.3,1,KRBOX4,"KRAB box domain containing 4",ZNF673,300585,ENSG00000147121,06530,26007,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
243,3897,SysID_0181,Xq28,1,L1CAM,"L1 cell adhesion molecule","CAML1, CD171, HSAS, HSAS1, MASA, MIC5, N-CAM-L1, N-CAML1, NCAM-L1, S10, SPG1",308840,ENSG00000198910,02394,6470,1,"uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013; Fly-2013 orthology: Many (HS) to one (DM) on TreeFam"
244,79944,SysID_0182,14q21.3,1,L2HGDH,"L-2-hydroxyglutarate dehydrogenase","C14orf160, L2HGA",609584,ENSG00000087299,12640,20499,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
245,3908,SysID_0183,6q22.33,1,LAMA2,"laminin subunit alpha 2","LAMM, MDC1A",156225,ENSG00000196569,01125,6482,0,"uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013; Fly-2013 orthology: Many (HS) to one (DM) on TreeFam"
246,10319,SysID_0417,9q34.12,1,LAMC3,"laminin subunit gamma 3",OCCM,604349,ENSG00000050555,05069,6494,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
247,3920,SysID_0184,Xq24,1,LAMP2,"lysosomal associated membrane protein 2","CD107b, DND, LAMP-2, LAMPB, LGP-96, LGP110",309060,ENSG00000005893,02396,6501,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
248,9215,SysID_0185,22q12.3,1,LARGE1,"LARGE xylosyl- and glucuronyltransferase 1","LARGE, MDC1D, MDDGA6, MDDGB6",603590,ENSG00000133424,04665,6511,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
249,51574,SysID_0495,4q25,1,LARP7,"La ribonucleoprotein 7, transcriptional regulator","ALAZS, HDCMA18P, PIP7S, hLARP7",612026,ENSG00000174720,17095,24912,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
250,3981,SysID_0186,13q33.3,1,LIG4,"DNA ligase 4",LIG4S,601837,ENSG00000174405,03500,6601,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
251,10128,SysID_0187,2p21,1,LRPPRC,"leucine rich pentatricopeptide repeat containing","CLONE-23970, GP130, LRP130, LSFC, MC4DN5",607544,ENSG00000138095,06343,15714,1,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
252,54585,SysID_0496,3p21.31,1,LZTFL1,"leucine zipper transcription factor like 1",BBS17,606568,ENSG00000163818,07586,6741,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
253,84061,SysID_0188,Xq21.1,1,MAGT1,"magnesium transporter 1","CDG1CC, IAP, MRX95, OST3B, PRO0756, SLC58A1, XMEN, bA217H1.1",300715,ENSG00000102158,06487,28880,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
254,11253,SysID_0433,9q34.3,1,MAN1B1,"mannosidase alpha class 1B member 1","ERMAN1, ERManI, MANA-ER, MRT15",604346,ENSG00000177239,05068,6823,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
255,4125,SysID_0189,19p13.13,1,MAN2B1,"mannosidase alpha class 2B member 1","LAMAN, MANB",609458,ENSG00000104774,02007,6826,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
256,4126,SysID_0190,4q24,1,MANBA,"mannosidase beta",MANB1,609489,ENSG00000109323,02008,6831,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
257,4128,SysID_0191,Xp11.3,1,MAOA,"monoamine oxidase A","BRNRS, MAO-A",309850,ENSG00000189221,02400,6833,1,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
258,5604,SysID_0192,15q22.31,1,MAP2K1,"mitogen-activated protein kinase kinase 1","CFC3, MAPKK1, MEK1, MEL, MKK1, PRKMK1",176872,ENSG00000169032,01469,6840,1,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
259,5605,SysID_0193,19p13.3,1,MAP2K2,"mitogen-activated protein kinase kinase 2","CFC4, MAPKK2, MEK2, MKK2, PRKMK2",601263,ENSG00000126934,03164,6842,1,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
260,4143,SysID_0194,10q22.3,1,MAT1A,"methionine adenosyltransferase 1A","MAT, MATA1, SAMS, SAMS1",610550,ENSG00000151224,02013,6903,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
261,55777,SysID_0195,2q23.1,1,MBD5,"methyl-CpG binding domain protein 5",MRD1,611472,ENSG00000204406,11295,20444,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
262,56922,SysID_0196,3q27.1,1,MCCC1,"methylcrotonyl-CoA carboxylase subunit 1","MCC-B, MCCA, MCCCalpha",609010,ENSG00000078070,01951,6936,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
263,64087,SysID_0197,5q13.2,1,MCCC2,"methylcrotonyl-CoA carboxylase subunit 2","MCCB, MCCCbeta",609014,ENSG00000131844,01952,6937,1,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
264,57192,SysID_0198,19p13.2,1,MCOLN1,"mucolipin TRP cation channel 1","MG-2, ML1, ML4, MLIV, MST080, MSTP080, TRP-ML1, TRPM-L1, TRPML1",605248,ENSG00000090674,05582,13356,0,"uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013; Fly-2013 orthology: Recent duplication in DM, many to many"
265,79648,SysID_0199,8p23.1,1,MCPH1,"microcephalin 1","BRIT1, MCT",607117,ENSG00000147316,06174,6954,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
266,4204,SysID_0200,Xq28,1,MECP2,"methyl-CpG binding protein 2","AUTSX3, MRX16, MRX79, MRXS13, MRXSL, PPMX, RS, RTS, RTT",300005,ENSG00000169057,02050,6990,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
267,9968,SysID_0201,Xq13.1,1,MED12,"mediator complex subunit 12","ARC240, CAGH45, FGS1, HOPA, Kto, MED12S, OHDOX, OKS, OPA1, TNRC11, TRAP230",300188,ENSG00000184634,02176,11957,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
268,9440,SysID_0399,11q21,1,MED17,"mediator complex subunit 17","CRSP6, CRSP77, DRIP80, SRB4, TRAP80",603810,ENSG00000042429,04816,2375,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
269,9439,SysID_0437,6q23.2,1,MED23,"mediator complex subunit 23","ARC130, CRSP130, CRSP133, CRSP3, DRIP130, MRT18, SUR-2, SUR2",605042,ENSG00000112282,05436,2372,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
270,4208,SysID_0202,5q14.3,1,MEF2C,"myocyte enhancer factor 2C","C5DELq14.3, DEL5q14.3",600662,ENSG00000081189,02809,6996,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
271,1954,SysID_0497,19q13.2,1,MEGF8,"multiple EGF like domains 8","C19orf49, CRPT2, EGFL4, SBP1",604267,ENSG00000105429,10370,3233,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
272,4247,SysID_0203,14q21.3,1,MGAT2,"alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase","CDG2A, CDGS2, GLCNACTII, GNT-II, GNT2",602616,ENSG00000168282,04013,7045,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
273,4281,SysID_0204,Xp22.2,1,MID1,"midline 1","BBBG1, FXY, GBBB1, MIDIN, OGS1, OS, OSX, RNF59, TRIM18, XPRF, ZNFXY",300552,ENSG00000101871,02047,7095,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
274,8195,SysID_0205,20p12.2,1,MKKS,"MKKS centrosomal shuttling protein","BBS6, HMCS, KMS, MKS",604896,ENSG00000125863,05356,7108,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
275,4297,SysID_0498,11q23.3,1,KMT2A,"lysine methyltransferase 2A","ALL-1, CXXC7, HRX, HTRX1, MLL, MLL1, MLL1A, TRX1, WDSTS",159555,ENSG00000118058,01162,7132,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
276,8085,SysID_0389,12q13.12,1,KMT2D,"lysine methyltransferase 2D","AAD10, ALR, CAGL114, KABUK1, KMS, MLL2, MLL4, TNRC21",602113,ENSG00000167548,03664,7133,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
277,23417,SysID_0206,16q23.3,1,MLYCD,"malonyl-CoA decarboxylase",MCD,606761,ENSG00000103150,05999,7150,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
278,166785,SysID_0207,4q31.21,1,MMAA,"metabolism of cobalamin associated A",cblA,607481,ENSG00000151611,07394,18871,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
279,27249,SysID_0209,2q23.2,1,MMADHC,"metabolism of cobalamin associated D","C2orf25, CL25022, cblD",611935,ENSG00000168288,10781,25221,0,"uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013; Fly-2013 orthology: One to one on Treefam"
280,25974,SysID_0208,1p34.1,1,MMACHC,"metabolism of cobalamin associated C",cblC,609831,ENSG00000132763,18585,24525,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
281,4337,SysID_0210,6p21.2,1,MOCS1,"molybdenum cofactor synthesis 1","MIG11, MOCOD, MOCS1A, MOCS1B",603707,ENSG00000124615,04749,7190,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
282,4338,SysID_0211,5q11.2,1,MOCS2,"molybdenum cofactor synthesis 2","MCBPE, MOCO1, MOCODB, MPTS",603708,ENSG00000164172,04750,7193,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
283,9526,SysID_0212,17p13.1,1,MPDU1,"mannose-P-dolichol utilization defect 1","CDGIF, HBEBP2BPA, Lec35, My008, PP3958, PQLC5, SL15, SLC66A5",604041,ENSG00000129255,04951,7207,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
284,8777,SysID_0499,9p23,1,MPDZ,"multiple PDZ domain crumbs cell polarity complex component","HYC2, MUPP1",603785,ENSG00000107186,09155,7208,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
285,136647,SysID_0067,7p14.1,1,MPLKIP,"M-phase specific PLK1 interacting protein","ABHS, C7orf11, ORF20, TTD4",609188,ENSG00000168303,12907,16002,0,"uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013; Fly-2013 orthology: Hhsearch gives a convincing, reciprocal best (<E-7) hit"
286,56945,SysID_0444,3q23,1,MRPS22,"mitochondrial ribosomal protein S22","C3orf5, COXPD5, GIBT, GK002, MRP-S22, ODG7, RPMS22",605810,ENSG00000175110,10430,14508,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
287,4508,SysID_0213,,1,MT-ATP6,"mitochondrially encoded ATP synthase 6","ATPase6, MTATP6",516060,ENSG00000198899,02472,7414,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
288,4513,SysID_0214,,1,MT-CO2,"mitochondrially encoded cytochrome c oxidase II","COII, MTCO2",516040,ENSG00000198712,02470,7421,1,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
289,4514,SysID_0215,,1,MT-CO3,"mitochondrially encoded cytochrome c oxidase III","COIII, MTCO3",516050,ENSG00000198938,NULL,7422,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
290,4512,SysID_0216,,1,MT-CO1,"mitochondrially encoded cytochrome c oxidase I","COI, MTCO1",516030,ENSG00000198804,NULL,7419,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
291,4540,SysID_0217,,1,MT-ND5,"mitochondrially encoded NADH dehydrogenase 5",MTND5,516005,ENSG00000198786,NULL,7461,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
292,4548,SysID_0222,1q43,1,MTR,"5-methyltetrahydrofolate-homocysteine methyltransferase","HMAG, MS, cblG",156570,ENSG00000116984,01136,7468,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
293,4552,SysID_0223,5p15.31,1,MTRR,"5-methyltetrahydrofolate-homocysteine methyltransferase reductase","MSR, cblE",602568,ENSG00000124275,03979,7473,0,"uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013; Fly-2013 orthology: According to tree there would have been gene loss in DM. Nevertheless, we should stick to MTRR in DM, it is the only candidate, and sensu strictu, it an ortholog of the human gene."
294,4566,SysID_0218,,3,MT-TK,"mitochondrially encoded tRNA lysine",MTTK,590060,ENSG00000210156,NULL,7489,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
295,4567,SysID_0219,,3,MT-TL1,"mitochondrially encoded tRNA leucine 1 (UUA/G)",MTTL1,590050,ENSG00000209082,NULL,7490,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
296,4574,SysID_0220,,3,MT-TS1,"mitochondrially encoded tRNA serine 1 (UCN)",MTTS1,590080,ENSG00000210151,NULL,7497,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
297,4577,SysID_0221,,3,MT-TV,"mitochondrially encoded tRNA valine",MTTV,590105,ENSG00000210077,NULL,7500,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
298,4594,SysID_0224,6p12.3,1,MMUT,"methylmalonyl-CoA mutase","MCM, MUT",609058,ENSG00000146085,02014,7526,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
299,4598,SysID_0225,12q24.11,1,MVK,"mevalonate kinase","LRBP, MK, MVLK, POROK3",251170,ENSG00000110921,02015,7530,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
300,4613,SysID_0226,2p24.3,1,MYCN,"MYCN proto-oncogene, bHLH transcription factor","MODED, N-myc, NMYC, ODED, bHLHe37",164840,ENSG00000134323,01278,7559,0,"uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013; Fly-2013 orthology: Many (HS) to one (DM), MYCN is an inparalog of L-MYC1 and L-MYC2 and of MYC. Diminutive (fly) appears to be the ortholog. In the literature diminutive is regarded as "the" ortholog of MYC, but from a phylo view point MYCN is just as good."
301,4644,SysID_0227,15q21.2,1,MYO5A,"myosin VA","GS1, MYH12, MYO5, MYR12",160777,ENSG00000197535,01179,7602,1,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
302,8260,SysID_0434,Xq28,1,NAA10,"N-alpha-acetyltransferase 10, NatA catalytic subunit","ARD1, ARD1A, ARD1P, DXS707, MCOPS1, NATD, OGDNS, TE2, hARD1",300013,ENSG00000102030,02056,18704,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
303,4668,SysID_0228,22q13.2,1,NAGA,alpha-N-acetylgalactosaminidase,"D22S674, GALB",104170,ENSG00000198951,00076,7631,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
304,4669,SysID_0229,17q21.2,1,NAGLU,N-acetyl-alpha-glucosaminidase,"CMT2V, MPS-IIIB, MPS3B, NAG, UFHSD",609701,ENSG00000108784,02017,7632,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
305,4683,SysID_0230,8q21.3,1,NBN,nibrin,"AT-V1, AT-V2, ATV, NBS, NBS1, P95",602667,ENSG00000104320,04050,7652,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
306,54820,SysID_0412,16p13.11,1,NDE1,"nudE neurodevelopment protein 1","HOM-TES-87, LIS4, MHAC, NDE, NUDE, NUDE1",609449,ENSG00000072864,14815,17619,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
307,4693,SysID_0231,Xp11.3,1,NDP,"norrin cystine knot growth factor NDP","EVR2, FEVR, ND",300658,ENSG00000124479,02404,7678,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
308,4694,SysID_0232,Xq24,1,NDUFA1,"NADH:ubiquinone oxidoreductase subunit A1","CI-MWFE, MC1DN12, MWFE, ZNF183",300078,ENSG00000125356,02093,7683,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
309,126328,SysID_0233,19p13.3,1,NDUFA11,"NADH:ubiquinone oxidoreductase subunit A11","B14.7, CI-B14.7, MC1DN14",612638,ENSG00000174886,14818,20371,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
310,55967,SysID_0448,12q22,1,NDUFA12,"NADH:ubiquinone oxidoreductase subunit A12","B17.2, DAP13, MC1DN23",614530,ENSG00000184752,16781,23987,1,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
311,4719,SysID_0234,2q33.3,1,NDUFS1,"NADH:ubiquinone oxidoreductase core subunit S1","CI-75Kd, CI-75k, MC1DN5, PRO1304",157655,ENSG00000023228,01145,7707,1,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
312,4720,SysID_0235,1q23.3,1,NDUFS2,"NADH:ubiquinone oxidoreductase core subunit S2","CI-49, MC1DN6",602985,ENSG00000158864,04285,7708,1,"uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013; Fly-2013 orthology: FBgn0039331 in DM is less related; Flyatlas: is testis and fat body specific"
313,4722,SysID_0236,11p11.2,1,NDUFS3,"NADH:ubiquinone oxidoreductase core subunit S3","CI-30, MC1DN8",603846,ENSG00000213619,10355,7710,1,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
314,4724,SysID_0237,5q11.2,1,NDUFS4,"NADH:ubiquinone oxidoreductase subunit S4","AQDQ, CI-18, CI-18 kDa, CI-AQDQ, MC1DN1",602694,ENSG00000164258,04073,7711,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
315,374291,SysID_0238,19p13.3,1,NDUFS7,"NADH:ubiquinone oxidoreductase core subunit S7","CI-20, CI-20KD, MC1DN3, MY017, PSST",601825,ENSG00000115286,03491,7714,1,"uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013; Fly-2013 orthology: CG2014/ FBgn0039669 gene is significantly expressed only in testis and a bit in fat body so that eventually, CG9172/FBgn0030718, highly and widely expressed (lowest expression in testis, but still considerable levels) is a very good choice"
316,4728,SysID_0387,11q13.2,1,NDUFS8,"NADH:ubiquinone oxidoreductase core subunit S8","CI-23k, CI23KD, MC1DN2, TYKY",602141,ENSG00000110717,03683,7715,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
317,4723,SysID_0388,11q13.2,1,NDUFV1,"NADH:ubiquinone oxidoreductase core subunit V1","CI-51K, CI51KD, MC1DN4, UQOR1",161015,ENSG00000167792,01191,7716,1,"uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013; Fly-2013 orthology: Expanded to three genes in Drosophila but FBgn0034007 and FBgn0034251 are very predominantly testis (& fat body) expressed"
318,4758,SysID_0239,6p21.33,1,NEU1,"neuraminidase 1","NANH, NEU, SIAL1",608272,ENSG00000204386,09751,7758,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
319,4763,SysID_0240,17q11.2,1,NF1,"neurofibromin 1","NFNS, VRNF, WSS",613113,ENSG00000196712,01203,7765,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
320,4810,SysID_0241,Xp22.2-p22.13,1,NHS,"NHS actin remodeling regulator","CTRCT40, CXN, SCML1",300457,ENSG00000188158,02351,7820,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
321,25836,SysID_0242,5p13.2,1,NIPBL,"NIPBL cohesin loading factor","CDLS, CDLS1, IDN3, IDN3-B, Scc2",608667,ENSG00000164190,10560,28862,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
322,7080,SysID_0243,14q13.3,1,NKX2-1,"NK2 homeobox 1","BCH, BHC, NK-2, NKX2.1, NKX2A, NMTC1, T/EBP, TEBP, TITF1, TTF-1, TTF1",600635,ENSG00000136352,02798,11825,0,uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013
323,54413,SysID_0244,Xq13.1,1,NLGN3,"neuroligin 3",HNL3,300336,ENSG00000196338,02275,14289,0,"uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013; Fly-2013 orthology: many to many, inparalogs, all DM hits have more or less the same level of identity"
324,57502,SysID_0245,Xp22.32-p22.31,1,NLGN4X,"neuroligin 4 X-linked","ASPGX2, AUTSX2, HLNX, HNL4X, NLGN4",300427,ENSG00000146938,02336,14287,0,"uploaded_by_Shiva_NCBI_GeneInfo_Version06March2013; Fly-2013 orthology: many to many, inparalogs, all DM hits have more or less the same level of identity"
